1.498140404318E9,OWL,18:8b:45:09:70:0e,5280,-84
1.498140404318E9,eduroam,18:8b:45:09:70:ef,5280,-83
1.498140404318E9,eduroam,18:8b:45:09:70:0f,5280,-83
1.498140404318E9,OWL,18:8b:45:09:70:ee,5280,-83
1.498140406246E9,eduroam,00:81:c4:85:07:a0,2462,-60
1.498140406246E9,TP-LINK_5GHz_6FF5D0,e8:de:27:6f:f5:d0,5745,-51
1.498140406246E9,TP-LINK_5GHz_6FE4D8,e8:de:27:6f:e4:d8,5745,-28
1.498140406246E9,TP-LINK_5GHz_7002B4,e8:de:27:70:02:b4,5745,-45
1.498140406246E9,AP_3,e8:de:27:6f:f5:d1,2432,-45
1.498140406246E9,AP_1,e8:de:27:6f:e4:d9,2432,-27
1.498140406246E9,AP_2,e8:de:27:70:02:b5,2432,-45
1.498140406246E9,eduroam,00:2a:10:3d:b0:1f,5220,-74
1.498140406246E9,OWL,00:2a:10:3d:b0:1e,5220,-74
1.498140406246E9,OWL,08:ea:44:96:ec:d5,2437,-72
1.498140406246E9,eduroam,40:18:b1:78:86:55,2462,-87
1.498140406247E9,eduroam,08:ea:44:96:ec:d6,2437,-73
1.498140406247E9,eduroam,40:18:b1:78:89:d5,2437,-84
1.498140406247E9,Anthony's iMac,10:9a:dd:a0:fb:1e,2462,-88
1.498140406247E9,OWL,00:81:c4:85:07:a1,2462,-56
1.498140406247E9,eduroam,18:8b:45:09:70:e0,2412,-76
1.498140406247E9,OWL,18:8b:45:09:70:e1,2412,-76
1.498140406247E9,eduroam,00:2a:10:3d:b0:10,2437,-68
1.498140406247E9,OWL,00:2a:10:3d:b0:11,2437,-69
1.498140406247E9,eduroam,08:ea:44:96:ec:eb,5220,-88
1.498140406247E9,OWL,08:ea:44:96:ec:ea,5220,-87
1.498140406247E9,eduroam,00:2a:10:1a:69:80,2462,-88
1.498140406247E9,OWL,00:2a:10:1a:69:81,2462,-87
1.498140406247E9,eduroam,40:18:b1:78:a9:55,2412,-87
1.498140406247E9,eduroam,40:18:b1:7b:3e:95,2412,-85
1.498140406247E9,OWL,40:18:b1:7b:3e:94,2412,-88
1.498140406247E9,OWL,40:18:b1:78:89:d4,2437,-83
1.498140406247E9,eduroam,08:ea:44:96:ec:96,2462,-86
1.498140406247E9,OWL,08:ea:44:96:ec:95,2462,-88
1.498140406247E9,OWL,18:8b:45:09:70:0e,5280,-84
1.498140406247E9,eduroam,18:8b:45:09:70:ef,5280,-82
1.498140406247E9,eduroam,18:8b:45:09:70:0f,5280,-83
1.498140406247E9,OWL,18:8b:45:09:70:ee,5280,-83
1.498140406247E9,eduroam,00:2a:10:35:39:30,2437,-85
1.498140408326E9,eduroam,00:81:c4:85:07:a0,2462,-60
1.498140408326E9,TP-LINK_5GHz_6FF5D0,e8:de:27:6f:f5:d0,5745,-47
1.498140408326E9,TP-LINK_5GHz_6FE4D8,e8:de:27:6f:e4:d8,5745,-30
1.498140408326E9,TP-LINK_5GHz_7002B4,e8:de:27:70:02:b4,5745,-46
1.498140408326E9,AP_3,e8:de:27:6f:f5:d1,2432,-45
1.498140408326E9,AP_1,e8:de:27:6f:e4:d9,2432,-25
1.498140408326E9,AP_2,e8:de:27:70:02:b5,2432,-44
1.498140408326E9,eduroam,00:2a:10:3d:b0:1f,5220,-70
1.498140408326E9,OWL,00:2a:10:3d:b0:1e,5220,-70
1.498140408326E9,OWL,08:ea:44:96:ec:d5,2437,-72
1.498140408326E9,eduroam,40:18:b1:78:86:55,2462,-86
1.498140408326E9,eduroam,08:ea:44:96:ec:d6,2437,-73
1.498140408326E9,eduroam,40:18:b1:78:89:d5,2437,-82
1.498140408326E9,Anthony's iMac,10:9a:dd:a0:fb:1e,2462,-88
1.498140408326E9,OWL,00:81:c4:85:07:a1,2462,-59
1.498140408326E9,eduroam,18:8b:45:09:70:e0,2412,-74
1.498140408326E9,OWL,18:8b:45:09:70:e1,2412,-75
1.498140408326E9,eduroam,00:2a:10:3d:b0:10,2437,-68
1.498140408326E9,OWL,00:2a:10:3d:b0:11,2437,-68
1.498140408326E9,eduroam,08:ea:44:96:ec:eb,5220,-86
1.498140408326E9,OWL,08:ea:44:96:ec:ea,5220,-86
1.498140408326E9,eduroam,00:2a:10:1a:69:80,2462,-88
1.498140408326E9,OWL,00:2a:10:1a:69:81,2462,-87
1.498140408326E9,eduroam,40:18:b1:78:a9:55,2412,-86
1.498140408326E9,eduroam,40:18:b1:7b:3e:95,2412,-85
1.498140408326E9,OWL,40:18:b1:7b:3e:94,2412,-88
1.498140408326E9,OWL,40:18:b1:78:89:d4,2437,-83
1.498140408326E9,eduroam,08:ea:44:96:ec:96,2462,-86
1.498140408326E9,OWL,08:ea:44:96:ec:95,2462,-88
1.498140408326E9,OWL,18:8b:45:09:70:0e,5280,-84
1.498140408326E9,eduroam,18:8b:45:09:70:ef,5280,-82
1.498140408326E9,eduroam,18:8b:45:09:70:0f,5280,-84
1.498140408326E9,OWL,18:8b:45:09:70:ee,5280,-83
1.498140408326E9,eduroam,00:2a:10:35:39:30,2437,-84
1.498140408326E9,OWL,00:2a:10:35:39:31,2437,-84
1.498140410197E9,eduroam,00:81:c4:85:07:a0,2462,-60
1.498140410197E9,TP-LINK_5GHz_6FF5D0,e8:de:27:6f:f5:d0,5745,-47
1.498140410197E9,TP-LINK_5GHz_6FE4D8,e8:de:27:6f:e4:d8,5745,-30
1.498140410197E9,TP-LINK_5GHz_7002B4,e8:de:27:70:02:b4,5745,-46
1.498140410197E9,AP_3,e8:de:27:6f:f5:d1,2432,-44
1.498140410197E9,AP_1,e8:de:27:6f:e4:d9,2432,-26
1.498140410197E9,AP_2,e8:de:27:70:02:b5,2432,-45
1.498140410197E9,eduroam,00:2a:10:3d:b0:1f,5220,-69
1.498140410197E9,OWL,00:2a:10:3d:b0:1e,5220,-69
1.498140410197E9,OWL,08:ea:44:96:ec:d5,2437,-73
1.498140410197E9,eduroam,40:18:b1:78:86:55,2462,-84
1.498140410197E9,eduroam,08:ea:44:96:ec:d6,2437,-73
1.498140410197E9,eduroam,40:18:b1:78:89:d5,2437,-82
1.498140410197E9,Anthony's iMac,10:9a:dd:a0:fb:1e,2462,-88
1.498140410197E9,OWL,00:81:c4:85:07:a1,2462,-62
1.498140410197E9,eduroam,18:8b:45:09:70:e0,2412,-74
1.498140410197E9,OWL,18:8b:45:09:70:e1,2412,-75
1.498140410197E9,eduroam,00:2a:10:3d:b0:10,2437,-68
1.498140410197E9,OWL,00:2a:10:3d:b0:11,2437,-68
1.498140410197E9,eduroam,08:ea:44:96:ec:eb,5220,-82
1.498140410197E9,OWL,08:ea:44:96:ec:ea,5220,-83
1.498140410197E9,eduroam,00:2a:10:1a:69:80,2462,-88
1.498140410197E9,OWL,00:2a:10:1a:69:81,2462,-87
1.498140410197E9,eduroam,40:18:b1:78:a9:55,2412,-87
1.498140410197E9,eduroam,40:18:b1:7b:3e:95,2412,-91
1.498140410197E9,OWL,40:18:b1:7b:3e:94,2412,-90
1.498140410197E9,OWL,40:18:b1:78:89:d4,2437,-83
1.498140410197E9,eduroam,08:ea:44:96:ec:96,2462,-85
1.498140410197E9,OWL,08:ea:44:96:ec:95,2462,-87
1.498140410197E9,OWL,18:8b:45:09:70:0e,5280,-82
1.498140410197E9,eduroam,18:8b:45:09:70:ef,5280,-82
1.498140410197E9,eduroam,18:8b:45:09:70:0f,5280,-82
1.498140410197E9,OWL,18:8b:45:09:70:ee,5280,-83
1.498140410197E9,eduroam,00:2a:10:35:39:30,2437,-84
